Atomic_Weight,Atomic Radius,Mulliken EN,polarizability(A^3),electron affinity(kJ/mol),Largest Cavity Diameter,Largest Free Sphere,PLD
58.9332,1.52,4.3,7.5,64,4.43864,3.9804,Small
58.9332,1.52,4.3,7.5,64,3.53566,3.51741,Small
58.9332,1.52,4.3,7.5,64,4.9992,4.982,Large
107.8682,1.65,4.44,7.9,126,1.2109,1.2109,Small
54.93805,1.61,3.72,9.4,-50,11.39487,11.39487,Large
107.8682,1.65,4.44,7.9,126,1.45533,1.45533,Small
107.8682,1.65,4.44,7.9,126,1.43609,1.40839,Small
58.9332,1.52,4.3,7.5,64,11.27344,11.27344,Large
158.92534,2.25,3.1,25.5,112,4.93969,4.93889,Large
63.546,1.45,4.48,6.7,119,11.25251,11.25251,Large
58.9332,1.52,4.3,7.5,64,1.81541,1.80785,Small
54.93805,1.61,3.72,9.4,-50,2.13608,2.11833,Small
55.847,1.56,4.06,8.4,15,2.05942,2.05073,Small
65.39,1.42,4.45,6.4,-60,3.23457,3.20514,Small
207.2,1.54,3.9,6.8,34,6.22232,6.18758,Large
65.39,1.42,4.45,6.4,-60,4.95126,4.95126,Large
63.546,1.45,4.48,6.7,119,,,Small
63.546,1.45,4.48,6.7,119,,,Small
138.9055,1.95,3.1,31.1,45,,,Small
151.965,2.31,3.1,27.7,83,,,Small
158.92534,2.25,3.1,25.5,112,,,Small
167.26,2.26,3.1,22.7,30,,,Small
107.8682,1.65,4.44,7.9,126,1.67292,1.29275,Small
65.39,1.42,4.45,6.4,-60,5.49574,5.49574,Large
58.9332,1.52,4.3,7.5,64,5.10081,5.09695,Large
65.39,1.42,4.45,6.4,-60,8.26184,8.26184,Large
58.6934,1.49,4.4,6.8,112,5.23439,5.17003,Large
112.411,1.61,4.33,7.2,-70,5.66735,5.66735,Large
44.95591,1.84,3.34,17.8,18,3.36484,3.36484,Large
55.847,1.56,4.06,8.4,15,6.48152,6.48152,Large
63.546,1.45,4.48,6.7,119,6.08481,6.00167,Large
55.847,1.56,4.06,8.4,15,2.62395,2.6185,Small
65.39,1.42,4.45,6.4,-60,6.22954,6.21878,Large
158.92534,2.25,3.1,25.5,112,7.12973,7.12973,Large
151.965,2.31,3.1,27.7,83,,,Small
158.92534,2.25,3.1,25.5,112,,,Small
112.411,1.61,4.33,7.2,-70,,,Small
112.411,1.61,4.33,7.2,-70,,,Small
112.411,1.61,4.33,7.2,-70,7.34692,7.34692,Large
58.9332,1.52,4.3,7.5,64,,,Small
63.546,1.45,4.48,6.7,119,,,Small
